Entry,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,AveWRMSSE
YJ_STU,0.199,0.31,0.4,0.277,0.365,0.39,0.474,0.48,0.573,0.966,0.929,0.884,0.520
Matthias,0.186,0.294,0.416,0.246,0.349,0.381,0.481,0.497,0.594,1.023,0.964,0.907,0.528
mf,0.236,0.319,0.421,0.308,0.397,0.405,0.496,0.505,0.6,0.95,0.917,0.875,0.536
monsaraida ,0.254,0.34,0.418,0.302,0.377,0.411,0.483,0.49,0.579,0.963,0.928,0.886,0.536
Alan Lahoud,0.213,0.324,0.414,0.272,0.361,0.416,0.494,0.503,0.595,0.995,0.95,0.897,0.536
ES_bu,0.426,0.514,0.58,0.478,0.577,0.577,0.654,0.643,0.728,1.012,0.969,0.915,0.671
sNaive,0.56,0.673,0.718,0.623,0.708,0.76,0.829,0.801,0.888,1.223,1.205,1.176,0.847
MA,0.891,0.918,0.931,0.9,0.96,0.964,0.986,0.944,0.988,1.07,1.006,0.938,0.956
ARIMA_td,0.615,0.673,0.753,0.656,0.768,0.725,0.81,0.785,0.856,1.027,0.969,0.91,0.796
ARIMA_bu,0.829,0.85,0.87,0.844,0.905,0.882,0.932,0.893,0.938,1.048,0.981,0.917,0.908
