date,revenue
2011-01-29,416881.3500000242
2011-01-30,405060.8100000122
2011-01-31,303301.57000000664
2011-02-01,332166.9300000157
2011-02-02,263827.6400000129
2011-02-03,395516.230000009
2011-02-04,360755.7100000167
2011-02-05,502140.9700000103
2011-02-06,485232.4100000033
2011-02-07,367535.8800000067
2011-02-08,337354.77000002324
2011-02-09,348541.160000009
2011-02-10,346262.06000001443
2011-02-11,383272.65000001324
2011-02-12,500608.81000001245
2011-02-13,557463.7900000135
2011-02-14,335089.7200000125
2011-02-15,350094.370000008
2011-02-16,309858.1900000107
2011-02-17,292418.4900000091
2011-02-18,340473.350000011
2011-02-19,425125.84000001394
2011-02-20,410534.06000001065
2011-02-21,334568.51000001316
2011-02-22,285442.77000000956
2011-02-23,284685.5200000176
2011-02-24,280709.59000000515
2011-02-25,317107.39000001515
2011-02-26,415378.24000000715
2011-02-27,420849.3400000093
2011-02-28,306020.85000001075
2011-03-01,331638.62000000814
2011-03-02,325129.57000001246
2011-03-03,349693.23000001744
2011-03-04,352196.77000000805
2011-03-05,468541.580000012
2011-03-06,515836.030000012
2011-03-07,367605.3100000187
2011-03-08,338712.45000001445
2011-03-09,331063.45000001515
2011-03-10,326480.740000016
2011-03-11,372301.8600000114
2011-03-12,454482.9200000068
2011-03-13,462434.60000001045
2011-03-14,366041.46000001207
2011-03-15,352549.76000001834
2011-03-16,315369.32000000903
2011-03-17,304372.4200000123
2011-03-18,332906.2200000113
2011-03-19,418855.7900000138
2011-03-20,414219.96000000916
2011-03-21,319788.15000001044
2011-03-22,285992.8400000105
2011-03-23,273018.1500000141
2011-03-24,261874.17000001014
2011-03-25,317703.5400000176
2011-03-26,402277.3900000174
2011-03-27,409676.6800000108
2011-03-28,298418.2200000157
2011-03-29,269633.7800000073
2011-03-30,258122.86000001308
2011-03-31,293928.41000001045
2011-04-01,385005.7700000119
2011-04-02,449630.41000001726
2011-04-03,475491.08000001864
2011-04-04,352855.15000000555
2011-04-05,352211.0600000074
2011-04-06,335871.3400000104
2011-04-07,337436.0300000082
2011-04-08,356521.59000001336
2011-04-09,463792.920000014
2011-04-10,454626.51000001945
2011-04-11,364340.1500000145
2011-04-12,343270.9500000107
2011-04-13,310577.8100000128
2011-04-14,315166.7900000167
2011-04-15,379054.34000000515
2011-04-16,421482.0800000092
2011-04-17,425852.09000001213
2011-04-18,323200.7500000135
2011-04-19,286351.4600000119
2011-04-20,293819.9500000201
2011-04-21,295961.24000001285
2011-04-22,363488.7900000149
2011-04-23,463435.84000001533
2011-04-24,369669.7300000055
2011-04-25,275253.24000001256
2011-04-26,254179.9100000081
2011-04-27,248599.05000000852
2011-04-28,249315.90000000378
2011-04-29,314608.6900000094
2011-04-30,383825.85000001435
2011-05-01,411552.7000000056
2011-05-02,329696.05000001035
2011-05-03,351313.64000002213
2011-05-04,298985.3900000129
2011-05-05,310953.2100000138
2011-05-06,378155.7400000159
2011-05-07,418708.9900000107
2011-05-08,346263.81000000914
2011-05-09,382840.5000000018
2011-05-10,326038.16000000585
2011-05-11,321684.87000001513
2011-05-12,327706.79000000755
2011-05-13,365349.17000000563
2011-05-14,412579.65999999864
2011-05-15,465333.0400000151
2011-05-16,324027.21000001027
2011-05-17,290539.1700000145
2011-05-18,272085.6900000125
2011-05-19,274955.80000001076
2011-05-20,307761.0500000087
2011-05-21,376032.2800000127
2011-05-22,382931.5600000107
2011-05-23,304611.8400000171
2011-05-24,275770.300000015
2011-05-25,275994.47000002087
2011-05-26,294412.5600000126
2011-05-27,315230.6100000141
2011-05-28,367521.0000000116
2011-05-29,345553.27000001736
2011-05-30,335252.69000001095
2011-05-31,279658.590000012
2011-06-01,330895.4900000109
2011-06-02,332514.790000023
2011-06-03,393467.44000001746
2011-06-04,444749.30000001786
2011-06-05,477150.5100000161
2011-06-06,406403.9800000179
2011-06-07,397999.9600000153
2011-06-08,369440.03000001557
2011-06-09,372959.70000001875
2011-06-10,386188.450000024
2011-06-11,441384.69000002346
2011-06-12,480832.75000000757
2011-06-13,391493.06000001624
2011-06-14,365532.60000002023
2011-06-15,391218.840000019
2011-06-16,343805.11000001495
2011-06-17,369672.25000001705
2011-06-18,416245.5800000246
2011-06-19,390663.7800000284
2011-06-20,353261.28000002034
2011-06-21,316553.240000022
2011-06-22,308055.400000024
2011-06-23,327468.0500000162
2011-06-24,355601.68000001676
2011-06-25,379682.43000002357
2011-06-26,404761.17000002624
2011-06-27,329100.39000002213
2011-06-28,284929.9000000156
2011-06-29,285821.3200000204
2011-06-30,314474.23000001267
2011-07-01,440351.01000001334
2011-07-02,478421.68000002764
2011-07-03,450442.11000001815
2011-07-04,358129.6500000153
2011-07-05,407082.1100000191
2011-07-06,398812.2500000228
2011-07-07,414340.3700000276
2011-07-08,418625.0300000199
2011-07-09,484527.92000001314
2011-07-10,480677.610000008
2011-07-11,412386.79000002414
2011-07-12,379266.2700000137
2011-07-13,372910.91000001505
2011-07-14,357079.1700000054
2011-07-15,433172.39000000956
2011-07-16,461162.08000000863
2011-07-17,469412.58000002895
2011-07-18,368488.0400000043
2011-07-19,340731.860000014
2011-07-20,339848.820000012
2011-07-21,340646.0100000235
2011-07-22,383341.050000016
2011-07-23,436359.16000000946
2011-07-24,432541.17000000644
2011-07-25,341811.6200000152
2011-07-26,311437.9300000146
