Week Number,FOODS_1_018,FOODS_1_046
1,17,0
2,3,0
3,8,0
4,2,5
5,5,4
6,0,3
7,1,0
8,5,2
9,12,0
10,4,5
11,7,2
12,9,0
13,2,2
14,5,1
15,11,0
16,6,0
17,3,0
18,3,0
19,3,0
20,2,0
21,14,0
22,19,0
23,12,0
24,8,0
25,2,0
26,3,0
27,3,0
28,4,0
29,5,0
30,2,0
31,5,0
32,6,24
33,5,21
34,0,17
35,1,12
36,13,19
37,2,7
38,0,0
39,0,1
40,2,2
41,0,0
42,0,1
43,4,4
44,3,3
45,3,14
46,13,6
47,19,4
48,15,0
49,15,12
50,25,4
51,18,6
52,12,4
53,7,1
54,1,2
55,3,0
56,12,3
57,8,1
58,1,2
59,2,0
60,2,0
61,1,0
62,2,0
63,6,1
64,6,0
65,1,1
66,2,0
67,1,0
68,2,0
69,0,0
70,2,0
71,2,0
72,0,1
73,1,0
74,0,0
75,0,1
76,0,0
77,0,0
78,0,0
79,6,0
80,2,0
81,4,0
82,4,0
83,4,0
84,4,1
85,3,0
86,2,0
87,1,0
88,2,0
89,3,0
90,3,0
91,8,0
92,6,0
93,6,0
94,9,0
95,8,22
96,1,8
97,2,10
98,7,5
99,1,19
100,3,6
101,3,5
102,1,0
103,0,2
104,0,2
105,9,11
106,10,10
107,5,5
108,8,9
109,0,2
110,4,5
111,7,3
112,6,6
113,11,4
114,8,0
115,5,0
116,7,0
117,3,2
118,5,2
119,1,0
120,7,1
121,10,4
122,7,2
123,5,1
124,2,1
125,3,0
126,1,0
127,2,0
128,15,0
129,3,0
130,2,0
131,0,0
132,0,0
133,0,6
134,7,4
135,3,1
136,7,2
137,7,5
138,6,6
139,4,1
140,3,2
141,12,4
142,8,4
143,5,6
144,5,2
145,7,7
146,9,6
147,2,6
148,9,13
149,12,7
150,17,6
151,5,11
152,11,9
153,7,9
154,4,12
155,4,9
156,9,14
157,1,0
158,5,3
159,3,3
160,4,0
161,5,3
162,3,17
163,2,5
164,3,2
165,0,1
166,9,4
167,9,3
168,11,6
169,8,7
170,17,5
171,8,2
172,4,2
173,14,5
174,10,6
175,9,3
176,22,5
177,14,1
178,7,1
179,2,0
180,3,2
181,3,2
182,3,3
183,13,9
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,9,3
192,8,1
193,3,1
194,2,1
195,2,8
196,19,2
197,23,6
198,13,2
199,7,1
200,3,3
201,13,3
202,2,1
203,9,3
204,15,1
205,4,1
206,3,2
207,8,0
208,6,0
209,3,1
210,8,0
211,7,1
212,5,0
213,16,5
214,6,0
215,5,1
216,3,5
217,13,1
218,15,3
219,8,2
220,10,1
221,1,1
222,2,1
223,2,1
224,4,3
225,9,0
226,8,2
227,8,1
228,2,1
229,4,3
230,1,2
231,1,4
232,0,0
233,2,1
234,2,3
235,0,1
236,0,1
237,0,2
238,3,3
239,2,1
240,2,0
241,2,2
242,0,0
243,0,3
244,1,8
245,2,18
246,1,10
247,4,12
248,9,9
249,0,1
250,2,1
251,2,10
252,2,24
253,3,7
254,0,5
255,17,3
256,7,13
257,7,1
258,3,22
259,6,13
260,3,17
261,8,22
262,9,9
263,24,6
264,26,2
265,11,5
266,20,3
267,18,15
268,19,12
269,1,0
270,2,2
271,4,6
272,3,5
273,0,3
274,5,5
275,12,8
276,2,16
277,1,1
278,2,4
279,6,7
280,8,7
281,10,13
282,15,8
283,9,3
284,5,3
285,3,3
286,7,11
287,17,9
288,15,15
289,4,4
290,9,7
291,11,3
292,7,7
293,6,9
294,9,7
295,13,14
296,17,13
297,9,7
298,5,2
299,5,11
300,6,5
301,26,18
302,12,6
303,5,0
304,6,5
305,3,2
306,12,2
307,8,1
308,7,2
309,23,4
310,10,4
311,7,1
312,2,2
313,6,5
314,3,3
315,7,3
316,15,5
317,5,7
318,33,20
319,10,8
320,15,0
321,6,9
322,8,5
323,12,16
324,18,18
325,6,11
326,5,6
327,2,5
328,8,6
329,8,15
330,16,4
331,0,0
332,12,0
333,21,0
334,23,0
335,3,9
336,13,10
337,14,30
338,9,19
339,13,24
340,16,5
341,8,8
342,4,11
343,13,5
344,10,7
345,15,4
346,4,9
347,9,12
348,9,11
349,7,7
350,10,14
351,8,3
352,6,7
353,6,1
354,7,1
355,6,5
356,9,3
357,6,3
358,6,3
359,2,15
360,0,13
361,2,10
362,4,9
363,2,8
364,12,10
365,9,13
366,6,7
367,4,3
368,3,2
369,5,4
370,3,6
371,6,7
372,20,19
373,10,9
374,5,4
375,0,4
376,2,5
377,9,6
378,17,8
379,14,13
380,1,1
381,4,7
382,0,5
383,1,5
384,4,4
385,4,3
386,5,5
387,9,4
388,5,0
389,1,5
390,4,4
391,1,3
392,13,4
393,21,1
394,19,2
395,8,6
396,1,8
397,11,4
398,9,5
399,3,10
400,7,6
401,4,13
402,7,5
403,6,7
404,5,9
405,1,6
406,1,2
407,11,5
408,4,4
409,12,7
410,10,16
411,11,12
412,8,10
413,18,14
414,14,13
415,22,9
416,5,6
417,4,4
418,9,4
419,11,5
420,11,5
421,19,10
422,13,16
423,12,5
424,6,12
425,6,5
426,10,4
427,14,19
428,11,15
429,17,5
430,4,8
431,12,8
432,24,6
433,14,4
434,35,9
435,25,6
436,13,8
437,8,1
438,11,3
439,8,3
440,4,0
441,3,3
442,15,1
443,17,2
444,14,0
445,4,0
446,16,1
447,8,0
448,10,2
449,6,0
450,8,2
451,7,0
452,10,4
453,5,3
454,10,9
455,9,26
456,17,8
457,14,6
458,4,4
459,6,6
460,7,12
461,7,6
462,5,13
463,15,18
464,26,9
465,10,3
466,7,0
467,8,6
468,15,0
469,17,6
470,18,19
471,20,15
472,11,4
473,11,2
474,8,2
475,6,4
476,21,7
477,20,5
478,16,8
479,15,3
480,3,7
481,1,0
482,3,4
483,9,17
484,8,15
485,7,12
486,6,6
487,7,11
488,1,6
489,5,3
490,7,12
491,4,10
492,4,7
493,2,10
494,9,5
495,3,8
496,2,4
497,3,5
498,7,8
499,1,2
500,4,2
501,7,5
502,7,7
503,2,3
504,3,4
505,4,1
506,6,8
507,6,7
508,5,1
509,1,3
510,7,3
511,3,2
512,11,29
513,11,19
514,8,18
515,13,6
516,9,11
517,14,25
518,28,16
519,21,12
520,30,16
521,10,17
522,11,16
523,13,6
524,11,17
525,27,17
526,11,30
527,18,9
528,17,6
529,16,4
530,12,10
531,7,13
532,14,20
533,24,7
534,30,17
535,13,16
536,13,11
537,12,6
538,11,4
539,12,9
540,15,13
541,12,19
542,5,21
543,5,16
544,5,7
545,13,17
546,6,13
547,6,12
548,8,3
549,2,7
550,15,5
551,19,11
552,7,8
553,6,8
554,12,11
555,9,21
556,7,14
557,9,11
558,11,6
559,4,7
560,13,4
561,14,8
562,11,12
563,9,9
564,11,7
565,11,7
566,19,7
567,8,10
568,23,23
569,17,14
570,9,10
571,11,24
572,12,14
573,5,8
574,28,11
575,12,18
576,8,20
577,4,8
578,6,7
579,12,16
580,13,10
581,11,9
582,16,19
583,14,13
584,23,17
585,7,6
586,10,10
587,4,5
588,12,7
589,9,10
590,10,5
591,16,10
592,3,4
593,2,5
594,5,11
595,14,22
596,5,8
597,19,10
598,9,8
599,14,6
600,33,9
601,17,8
602,13,8
603,16,24
604,16,12
605,18,11
606,9,13
607,16,5
608,27,5
609,16,9
610,25,11
611,23,3
612,13,7
613,11,12
614,10,9
615,10,8
616,6,5
617,14,22
618,26,23
619,14,5
620,26,8
621,13,9
622,23,14
623,12,5
624,6,2
625,16,9
626,23,9
627,6,3
628,23,8
629,15,8
630,3,4
631,19,3
632,19,9
633,16,4
634,14,2
635,5,3
636,9,3
637,12,6
638,20,3
639,19,3
640,10,6
641,5,3
642,2,10
643,3,3
644,18,11
645,14,4
646,15,6
647,20,6
648,8,11
649,9,8
650,12,6
651,22,14
652,11,11
653,7,4
654,12,6
655,1,5
656,10,11
657,6,3
658,13,8
659,7,11
660,15,3
661,12,7
662,13,18
663,10,13
664,1,4
665,11,24
666,10,11
667,12,4
668,16,5
669,4,14
670,11,6
671,5,5
672,11,8
673,13,22
674,13,12
675,10,16
676,15,10
677,11,15
678,23,4
679,23,10
680,25,9
681,13,13
682,14,4
683,14,9
684,14,10
685,16,15
686,13,24
687,21,35
688,12,16
689,16,14
690,18,12
691,9,12
692,21,10
693,24,39
694,34,32
695,46,37
696,13,17
697,0,0
698,8,8
699,16,4
700,12,2
701,11,9
702,18,19
703,24,12
704,13,8
705,15,10
